pipeline_type,opt_sequence,circuit_type,num_qubits,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Graph State Circuit,5,success,,61.0,36.0,11.0,8.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Graph State Circuit,10,success,,125.0,33.0,25.0,11.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Graph State Circuit,15,success,,189.0,29.0,39.0,10.0
sdk_chain_qiskit,qlego-qiskit_Optimize1qGatesPass -> qlego-qiskit_CommutativeCancellationPass -> qlego-qiskit_OptimizeCliffordsPass -> qlego-qiskit_Collect2qBlocksPass -> qlego-qiskit_RemoveIdentityEquivalentPass -> qlego-qiskit_OptimizeSwapBeforeMeasurePass,Graph State Circuit,20,success,,256.0,33.0,56.0,14.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,DJ Circuit,5,success,,53.0,15.0,4.0,4.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,DJ Circuit,10,success,,113.0,40.0,9.0,9.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,DJ Circuit,15,success,,173.0,55.0,14.0,14.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,DJ Circuit,20,success,,233.0,70.0,19.0,19.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,GHZ Circuit,5,success,,14.0,10.0,4.0,4.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,GHZ Circuit,10,success,,24.0,15.0,9.0,9.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,GHZ Circuit,15,success,,34.0,20.0,14.0,14.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,GHZ Circuit,20,success,,44.0,25.0,19.0,19.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Grover Circuit,5,success,,1119.0,782.0,164.0,143.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Grover Circuit,10,failed,Timeout: pipeline exceeded 50s,,,,
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Grover Circuit,15,failed,Timeout: pipeline exceeded 50s,,,,
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Grover Circuit,20,failed,Timeout: pipeline exceeded 50s,,,,
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,QFT Circuit,5,success,,145.0,75.0,20.0,14.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,QFT Circuit,10,success,,680.0,215.0,90.0,44.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,QFT Circuit,15,success,,1610.0,337.0,210.0,66.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,QFT Circuit,20,success,,2790.0,441.0,380.0,82.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Amplitude Estimation Circuit,5,success,,185.0,99.0,20.0,18.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Amplitude Estimation Circuit,10,success,,750.0,274.0,90.0,48.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Amplitude Estimation Circuit,15,failed,Timeout: pipeline exceeded 50s,,,,
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Quantum Phase Estimation Circuit,5,success,,158.0,88.0,19.0,17.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Quantum Phase Estimation Circuit,10,success,,694.0,210.0,85.0,39.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Quantum Phase Estimation Circuit,15,success,,1728.0,425.0,209.0,79.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Quantum Phase Estimation Circuit,20,success,,2828.0,599.0,379.0,121.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,W State Circuit,5,success,,58.0,31.0,8.0,6.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,W State Circuit,10,success,,123.0,61.0,18.0,11.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,W State Circuit,15,success,,188.0,91.0,28.0,16.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,W State Circuit,20,success,,253.0,121.0,38.0,21.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Half Adder Circuit,5,success,,139.0,81.0,19.0,15.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Half Adder Circuit,15,success,,936.0,398.0,151.0,79.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,BV Circuit,5,success,,36.0,13.0,2.0,2.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,BV Circuit,10,success,,63.0,15.0,4.0,4.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,BV Circuit,15,success,,101.0,28.0,7.0,7.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,BV Circuit,20,success,,128.0,40.0,9.0,9.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Graph State Circuit,5,success,,35.0,20.0,5.0,4.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Graph State Circuit,10,success,,70.0,24.0,10.0,3.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Graph State Circuit,15,success,,105.0,25.0,15.0,4.0
sdk_chain_tket,qlego-tket_SquashTK1Pass -> qlego-tket_FullPeepholeOptimizePass -> qlego-tket_CliffordSimpPass -> qlego-tket_PeepholeOptimize2QPass -> qlego-tket_DelayMeasuresPass,Graph State Circuit,20,success,,140.0,20.0,20.0,4.0
sdk_chain_bqskit,qlego-bqskit_GroupSingleQuditGatePassPass -> qlego-bqskit_ScanningGateRemovalPassPass -> qlego-bqskit_QuickPartitionerPass,DJ Circuit,5,success,,39.0,18.0,7.0,7.0
sdk_chain_bqskit,qlego-bqskit_GroupSingleQuditGatePassPass -> qlego-bqskit_ScanningGateRemovalPassPass -> qlego-bqskit_QuickPartitionerPass,DJ Circuit,10,failed,Timeout: pipeline exceeded 50s,,,,
sdk_chain_bqskit,qlego-bqskit_GroupSingleQuditGatePassPass -> qlego-bqskit_ScanningGateRemovalPassPass -> qlego-bqskit_QuickPartitionerPass,DJ Circuit,15,failed,RuntimeError: Server connection unexpectedly closed.,,,,
